transaction_id,items
1,G003|G005|G011|G014|G016
2,G001|G004|G007
3,G001|G006|G008|G015
4,G011|G013|G016|G017
5,G004|G007|G008|G009
6,G001|G002
7,G001|G004|G008|G009|G011|G016
8,G005|G007|G008|G009|G011|G013|G014
9,G001|G003|G008|G016|G017
10,G001|G003|G004|G007|G008|G009
11,G007
12,G007|G010|G013
13,G007|G008|G009|G014|G016|G017|G018
14,G001|G003|G004|G015|G018
15,G001|G016
16,G001|G002|G003|G004|G007|G009
17,G001
18,G002|G003|G004|G007|G011
19,G007|G010|G011|G012|G013
20,G001|G003|G010|G012
21,G014
22,G011|G013|G015
23,G003|G006|G009|G010|G013
24,G004|G005|G015|G017
25,G003|G008|G009|G010|G015|G016|G017
26,G004|G007|G016|G017
27,G013
28,G010|G011|G013|G014
29,G002|G003|G016
30,G004|G006|G007
31,G001|G007|G008|G009
32,G001|G004|G009|G010|G012
33,G014|G017|G018
34,G004|G010|G017
35,G001|G006|G010|G011|G013|G015
36,G001|G008|G009|G014|G016
37,G001|G002|G003|G008|G010|G013|G016
38,G004|G014|G015|G016|G017|G018
39,G006|G010|G013|G014|G018
40,G001|G004|G016|G017
41,G007|G012|G017
42,G003|G004|G005|G007|G013
43,G001|G009|G011|G013|G016|G017
44,G002|G008|G011|G014|G016
45,G005|G011|G013|G014
46,G010|G013
47,G001|G004|G007|G014|G016|G018
48,G009|G010|G012|G014|G015
49,G008|G009|G010|G012|G016
50,G013|G014
51,G006|G010
52,G001|G002|G003|G005|G014|G016|G017
53,G014|G016
54,G001|G003|G015|G016
55,G004|G006|G007|G010
56,G006|G017
57,G004|G005|G007|G014|G015|G017|G018
58,G001|G005|G016|G017|G018
59,G003
60,G001|G006|G010|G012
61,G002|G004|G007|G008|G009|G010|G013
62,G003|G006|G015
63,G001|G004|G016
64,G001|G014|G015|G018
65,G002|G003|G004|G017
66,G008|G009|G011|G013|G016|G017
67,G001|G002|G003|G004|G015
68,G004|G007|G008|G009|G010|G013
69,G003|G005|G014|G018
70,G002|G003|G016
71,G002|G003
72,G004|G007|G010|G015
73,G002|G003|G011|G013
74,G004|G008|G009|G016
75,G005|G008|G009|G011|G013|G014
76,G007|G016|G017
77,G001|G002|G003|G005|G006|G010|G014
78,G009|G010|G012|G013|G016
79,G007|G008|G009
80,G001|G004|G009|G012|G014
81,G001|G004|G010|G011|G012|G013
82,G001|G002|G003|G006|G010|G011|G013|G016
83,G005|G014
84,G010|G012|G013|G015
85,G004|G006|G007|G014|G018
86,G001|G002|G003|G011|G013|G015
87,G002|G003|G013|G016
88,G005|G012|G013|G014|G017
89,G010|G013|G016|G017
90,G007|G008|G009|G014|G018
91,G004|G005|G013|G014|G018
92,G003|G010|G011|G012|G013
93,G001|G008|G015
94,G010|G012|G014|G016|G017|G018
95,G008|G009|G013|G016|G017
96,G005|G010|G012
97,G016|G017
98,G001|G002|G003|G009
99,G001|G002|G003|G005|G010|G012
100,G003|G004|G007|G011|G017
101,G001|G002|G003|G010|G013
102,G001|G002|G003
103,G001|G007|G015|G018
104,G001|G006|G007|G016
105,G007|G008|G009
106,G004|G016|G017
107,G015|G018
108,G004|G007|G009
109,G016
110,G010|G013
111,G010|G012|G016|G017
112,G014|G018
113,G004|G007|G016
114,G001|G005|G010|G013|G014|G016|G017
115,G001|G004|G007|G015|G016|G017
116,G001|G002|G003|G006|G010|G011|G013
117,G001|G011|G016|G017
118,G002|G004|G007|G008|G014|G018
119,G006|G010|G016|G017
120,G001|G003|G004|G007|G009|G016
121,G008|G010|G017
122,G012|G016|G017
123,G010|G013
124,G008|G009
125,G005|G008|G009|G014
126,G001|G002|G003|G006|G012
127,G001|G002|G003|G010|G012
128,G007|G008|G009|G010|G013
129,G008|G010|G013
130,G005|G006|G012|G014|G018
131,G003|G005|G011
132,G006|G010
133,G004|G007|G008|G010|G013
134,G005|G007|G008|G014|G015
135,G001|G002|G003|G006|G011
136,G002|G003|G008|G011|G013|G014|G018
137,G001|G003|G005|G014
138,G002|G007|G008|G009
139,G010
140,G006|G010|G016|G017
141,G002|G009
142,G001|G013|G014
143,G005|G011|G013|G014
144,G004|G007|G010|G013
145,G001|G002|G003|G004|G007
146,G004|G007|G011
147,G006|G010|G016|G017
148,G016|G017
149,G004|G005|G007|G014|G016
150,G004|G007|G010|G011|G013|G016|G017
151,G001|G002|G015
152,G008|G014|G016|G017
153,G001|G002|G003|G013|G016
154,G002|G003|G006|G011|G013
155,G001|G010|G015
156,G001|G002|G003|G005|G014
157,G001|G004|G007|G008|G009
158,G005|G007|G012|G016|G018
159,G001|G002|G004|G005|G006
160,G001|G004|G007|G008|G009|G010|G013
161,G002|G003|G009|G016|G017
162,G001|G014
163,G002|G011|G012|G013|G014|G018
164,G001|G002|G003|G004|G007|G008|G009|G015
165,G011|G013|G014|G018
166,G001|G014|G015|G018
167,G004|G005|G006|G007|G015|G016|G017
168,G001|G002|G003|G016|G017
169,G001|G011|G013|G015
170,G010|G011|G013|G014|G018
171,G001|G002|G003|G005|G011|G013|G014
172,G002|G003|G016|G017
173,G002|G003|G016|G017|G018
174,G001|G002|G003|G008|G009
175,G008|G009|G010|G012|G018
176,G001|G002|G003|G004
177,G010|G012|G016|G017
178,G008|G009|G010|G011|G012|G013
179,G006|G010|G013|G016|G017
